city_en,city_ru,lat,lon,population,iso3,country,country_ru
Tokyo,Токио,35.687,139.7495,37785000,JPN,Japan,Япония
Jakarta,Джакарта,-6.175,106.8275,33756000,IDN,Indonesia,Индонезия
Delhi,Дели,28.61,77.23,32226000,IND,India,Индия
Guangzhou,Гуанчжоу,23.13,113.26,26940000,CHN,China,Китай
Mumbai,Мумбаи,19.0761,72.8775,24973000,IND,India,Индия
Manila,Манила,14.5958,120.9772,24922000,PHL,Philippines,Филиппины
Shanghai,Шанхай,31.2286,121.4747,24073000,CHN,China,Китай
Sao paulo,Городской Сан -паулу,-23.5504,-46.6339,23086000,BRA,Brazil,Бразилия
Seoul,Сеул,37.5667,126.9833,23016000,KOR,"Korea, south","Корея, Юг"
Mexico city,Сити Мехико,19.4333,-99.1333,21804000,MEX,Mexico,Мексика
Kolkata,Калькутта,22.5675,88.37,21747000,IND,India,Индия
Cairo,Каир,30.0444,31.2358,20296000,EGY,Egypt,Египет
Karachi,Карачи,24.86,67.01,20249000,PAK,Pakistan,Пакистан
Dhaka,Дакка,23.7289,90.3944,19134000,BGD,Bangladesh,Бангладеш
New york,Нью -йорк,40.6943,-73.9249,18832416,USA,United states,Соединенные Штаты
Beijing,Пекин,39.9067,116.3975,18522000,CHN,China,Китай
Bangkok,Бангкок,13.7525,100.4942,18007000,THA,Thailand,Таиланд
Shenzhen,Шэньчжэнь,22.5415,114.0596,17619000,CHN,China,Китай
Moscow,Москва,55.7506,37.6175,17332000,RUS,Russia,Россия
Buenos aires,Буэнос-Айрес,-34.6036,-58.3814,16710000,ARG,Argentina,Аргентина
Lagos,Лагос,6.455,3.3841,16637000,NGA,Nigeria,Нигерия
Bangalore,Бангалор,12.9789,77.5917,15386000,IND,India,Индия
Ho chi minh city,Хо Чи Мин,10.7756,106.7019,15136000,VNM,Vietnam,Вьетнам
Osaka,Осака,34.6939,135.5022,15126000,JPN,Japan,Япония
Chengdu,Чэнду,30.66,104.0633,14645000,CHN,China,Китай
Istanbul,Стамбул,41.0136,28.955,14441000,TUR,Turkey,Турция
Tehran,Тегеран,35.6889,51.3897,14148000,IRN,Iran,Иран
Kinshasa,Городской Киншаса,-4.3219,15.3119,12836000,COD,Congo (kinshasa),Конго (киншаса)
Rio de janeiro,Рио -де -жанейро,-22.9111,-43.2056,12592000,BRA,Brazil,Бразилия
Chennai,Ченнаи,13.0825,80.275,12395000,IND,India,Индия
Xi'an,Xiian,34.2611,108.9422,12328000,CHN,China,Китай
Lahore,Лахор,31.5497,74.3436,12306000,PAK,Pakistan,Пакистан
Chongqing,Чунцин,29.5637,106.5504,12135000,CHN,China,Китай
Los angeles,Лос -анджелес,34.1141,-118.4068,11885717,USA,United states,Соединенные Штаты
London,Лондон,51.5072,-0.1275,11262000,GBR,United kingdom,Великобритания
Paris,Городской Париж,48.8567,2.3522,11060000,FRA,France,Франция
Linyi,Лини,35.1038,118.3564,10820000,CHN,China,Китай
Dongguan,Дунгуан,23.021,113.752,10646000,CHN,China,Китай
Baoding,Городской Баодинг,38.874,115.464,10546831,CHN,China,Китай
Hyderabad,Хайдарабад,17.3617,78.4747,10494000,IND,India,Индия
Tianjin,Тяньцзинь,39.1336,117.2054,10368000,CHN,China,Китай
Lima,Лима,-12.06,-77.0375,10320000,PER,Peru,Перу
Wuhan,Ухан,30.5934,114.3046,10251000,CHN,China,Китай
Nanyang,Наньян,32.9902,112.5285,9577771,CHN,China,Китай
Hangzhou,Ханчжоу,30.267,120.153,9523000,CHN,China,Китай
Nagoya,Нагоя,35.1833,136.9,9197000,JPN,Japan,Япония
Luanda,Луанда,-8.8383,13.2344,9051000,AGO,Angola,Ангола
Foshan,Фошан,23.0214,113.1216,9042500,CHN,China,Китай
Kuala lumpur,Куала -лумпур,3.1686,101.698,8911000,MYS,Malaysia,Малайзия
Zhoukou,Чжоку,33.6367,114.7014,8677800,CHN,China,Китай
Tongshan,Тонгшан,34.261,117.1859,8669000,CHN,China,Китай
Hanoi,Ханой,21.0,105.85,8587100,VNM,Vietnam,Вьетнам
Chicago,Чикаго,41.8375,-87.6866,8489066,USA,United states,Соединенные Штаты
Nanjing,Нанкин,32.0608,118.7789,8422000,CHN,China,Китай
Heze,Хиз,35.2343,115.4796,8287693,CHN,China,Китай
Pune,Пуна,18.5203,73.8567,8231000,IND,India,Индия
Jining,Джинин,35.4151,116.5871,8081905,CHN,China,Китай
Bogota,Городская Богота,4.7111,-74.0722,8034649,COL,Colombia,Колумбия
Ahmedabad,Ахмедабад,23.0225,72.5714,8009000,IND,India,Индия
Shenyang,Шеньян,41.8025,123.4281,7964000,CHN,China,Китай
Dar es salaam,City Dar Es Salaam,-6.8161,39.2803,7962000,TZA,Tanzania,Танзания
Khartoum,Хартум,15.6031,32.5265,7869000,SDN,Sudan,Судан
Johannesburg,Йоханнесбург,-26.2044,28.0456,7860781,ZAF,South africa,Юар
Fuyang,Фуян,32.89,115.814,7599913,CHN,China,Китай
Hong kong,Гонконг,22.3,114.2,7450000,HKG,Hong kong,Гонконг
Ganzhou,Ганчжоу,25.831,114.933,7396873,CHN,China,Китай
Shangqiu,Сити Шанкю,34.415,115.656,7325300,CHN,China,Китай
Cangzhou,Кангжоу,38.3047,116.8387,7300783,CHN,China,Китай
Riyadh,Эр -рияд,24.65,46.71,7237000,SAU,Saudi arabia,Саудовская Аравия
Santiago,Сантьяго,-33.4372,-70.6506,7171000,CHL,Chile,Чили
Zhumadian,Жумад,33.014,114.022,7008427,CHN,China,Китай
Zhanjiang,Сити Чжанджан,21.2701,110.3575,6981236,CHN,China,Китай
Rangoon,Рангун,16.795,96.16,6874000,MMR,Burma,Бирма
Yancheng,Янэнг,33.35,120.1569,6709629,CHN,China,Китай
Bijie,Биджи,27.284,105.292,6686100,CHN,China,Китай
Xingtai,Синтай,37.0717,114.5048,6645766,CHN,China,Китай
Hengyang,Хенгьян,26.894,112.572,6645243,CHN,China,Китай
Shaoyang,Шаоян,27.2395,111.4679,6563520,CHN,China,Китай
Surabaya,Сурабая,-7.2458,112.7378,6556000,IDN,Indonesia,Индонезия
Surat,Сурат,21.205,72.84,6538000,IND,India,Индия
Quanzhou,Куанчжоу,24.8744,118.6757,6480000,CHN,China,Китай
Shangrao,Шанграо,28.4551,117.9431,6435300,CHN,China,Китай
Zunyi,Зуни,27.722,107.031,6270700,CHN,China,Китай
Madrid,Мадрид,40.4169,-3.7033,6211000,ESP,Spain,Испания
Baghdad,Багдад,33.3153,44.3661,6183000,IRQ,Iraq,Ирак
Maoming,Маоминг,21.6627,110.9255,6174050,CHN,China,Китай
Miami,Майами,25.784,-80.2101,6113982,USA,United states,Соединенные Штаты
Xinyang,Синьян,32.149,114.091,6109106,CHN,China,Китай
Houston,Хьюстон,29.786,-95.3885,6046392,USA,United states,Соединенные Штаты
Singapore,Сингапур,1.3,103.8,5983000,SGP,Singapore,Сингапур
Prayagraj,Платаградж,25.4358,81.8464,5954391,IND,India,Индия
Huanggang,Хуанганг,30.4537,114.8724,5882719,CHN,China,Китай
Dalian,Далянь,38.9,121.6,5871474,CHN,China,Китай
Ankara,Анкара,39.93,32.85,5864049,TUR,Turkey,Турция
Dallas,Даллас,44.9221,-123.313,5843632,USA,United states,Соединенные Штаты
Qingdao,Циндао,36.0669,120.3827,5818255,CHN,China,Китай
Yulin,Юлин,22.654,110.181,5796766,CHN,China,Китай
